Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Cores,Failed
"asia.osm",128,2,1304,0.03,0.004,0.82,1452900,96,0
"asia.osm",30000,2,108611,0.03,3.3,5.314,1691120,96,0
"asia.osm",37,2,450,0.03,0.001,1.16,1454600,96,0
"asia.osm",64,2,722,0.03,0.001,0.983,1449812,96,0
"asia.osm",8,2,81,0.03,0.008,0.865,1466268,96,0
"asia.osm",91,2,965,0.03,0.001,1.057,1444932,96,0
"asia.osm",1000,3,8058,0.03,0.066,0.87,1438900,96,0
"asia.osm",128,3,1296,0.03,0.002,1.312,1448248,96,0
"asia.osm",30000,3,108790,0.03,3.461,4.825,1577568,96,0
"asia.osm",37,3,442,0.03,0.005,1.065,1449096,96,0
"asia.osm",64,3,710,0.03,0.002,1.51,1449632,96,0
"asia.osm",8,3,86,0.03,0.007,0.815,1478340,96,0
"asia.osm",91,3,985,0.03,0.003,1.069,1446340,96,0
"asia.osm",1000,4,8043,0.03,0.036,0.869,1433988,96,0
"asia.osm",128,4,1325,0.03,0.002,0.992,1450176,96,0
"asia.osm",30000,4,108878,0.03,3.626,4.975,1584648,96,0
"asia.osm",37,4,444,0.03,0.004,1.087,1444116,96,0
"asia.osm",64,4,737,0.03,0.005,0.805,1456584,96,0
"asia.osm",8,4,80,0.03,0.008,0.865,1468624,96,0
"asia.osm",91,4,956,0.03,0.002,0.922,1444676,96,0
"asia.osm",1000,5,8107,0.03,0.048,1.884,1429236,96,0
"asia.osm",128,5,1276,0.03,0.001,1.114,1439404,96,0
"asia.osm",30000,5,108511,0.03,3.242,3.86,1640968,96,0
"asia.osm",37,5,446,0.03,0.012,0.831,1448652,96,0
"asia.osm",64,5,727,0.03,0.002,1.339,1437372,96,0
"asia.osm",8,5,91,0.03,0.008,1.071,1465292,96,0
"asia.osm",91,5,995,0.03,0.004,1.201,1448392,96,0
"audikw1",1000,1,9746595,0.03,0.055,1.434,2483860,96,0
"audikw1",128,1,4151710,0.03,0.032,0.762,2080136,96,0
"audikw1",30000,1,27627851,0.03,3.768,19.932,9867456,96,0
"audikw1",37,1,2181295,0.03,0.033,0.441,1890892,96,0
"audikw1",64,1,2917201,0.03,0.032,0.727,1967844,96,0
"audikw1",8,1,802552,0.03,0.008,0.522,1865232,96,0
"audikw1",91,1,3497352,0.03,0.031,0.737,2022656,96,0
"audikw1",1000,2,9758319,0.03,0.053,1.658,2493844,96,0
"audikw1",128,2,4125255,0.03,0.032,1.131,2077988,96,0
"audikw1",30000,2,27630426,0.03,3.768,20.222,9731776,96,0
"audikw1",37,2,2191548,0.03,0.03,0.711,1888920,96,0
"audikw1",64,2,2959815,0.03,0.032,0.927,1969220,96,0
"audikw1",8,2,791433,0.03,0.013,0.659,1869916,96,0
"audikw1",91,2,3495420,0.03,0.031,2.784,2014340,96,0
"audikw1",1000,3,9742515,0.03,0.049,1.023,2470756,96,0
