Graph,N,M,HierarchyLevels,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Mtot,K,Seed,Cut,Epsilon,Imbalance,Time,TimeCoarsening,TimeSparsification,TimeInitialPartitioning,TimeUncoarsening,TimeRefinement,TimeRemaining,Cores,Timeout,Failed
ba_2_22_s0_md_2,4194304,16777058,14,11655510,2297658,1545744,285106,236496,214444,206976,205446,205164,205158,34655376,7,4,3071806,0.030000,0.000002,0.471000,0.215000,0.004000,0.021000,0.011000,0.189000,0.031000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,14,11657860,2299540,1545612,285466,237528,218066,211762,210718,210706,210696,34707758,8,4,3159588,0.030000,0.000002,0.453000,0.215000,0.004000,0.016000,0.015000,0.180000,0.023000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,13,11654852,2294574,1547706,288466,243676,231432,229092,228918,228898,228880,34640144,16,5,3554113,0.030000,0.000008,0.447000,0.225000,0.004000,0.023000,0.015000,0.153000,0.027000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,15,11657984,2299730,1546844,286728,228188,178500,140750,131460,129298,128400,34146936,3,5,2210415,0.030000,0.000000,0.492000,0.217000,0.004000,0.009000,0.013000,0.219000,0.030000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,12,11654616,2299154,1553452,290208,248976,241290,240410,240252,240172,240102,34505758,37,5,3842875,0.030000,0.000009,0.443000,0.214000,0.004000,0.038000,0.018000,0.143000,0.026000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,11,11661490,2289932,1552332,292968,257114,251754,251120,250856,250708,250598,34336450,64,5,3965139,0.030000,0.000031,0.450000,0.214000,0.004000,0.056000,0.016000,0.134000,0.026000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,14,11653754,2298306,1547028,285058,235718,213668,206254,204636,204462,204460,34648226,7,5,3070331,0.030000,0.000003,0.459000,0.214000,0.004000,0.020000,0.012000,0.185000,0.024000,32,0,0
ba_2_22_s0_md_2,4194304,16777058,14,11667806,2293330,1542394,286284,238464,218868,213068,212110,212034,212026,34721518,8,5,3172302,0.030000,0.000002,0.459000,0.216000,0.004000,0.016000,0.012000,0.181000,0.030000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,7,26721550,18163050,11998480,8246172,6543572,6202864,6118786,6118786,6118786,6118786,218223288,16,1,55558019,0.030000,0.029968,1.393000,0.859000,0.001000,0.215000,0.008000,0.274000,0.036000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,9,85865970,31467148,11784550,4512348,1675300,564408,290524,239022,226616,226616,270854700,3,1,36315343,0.030000,0.029983,1.308000,0.904000,0.000000,0.015000,0.011000,0.341000,0.037000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,26709054,5298660,982940,981488,981444,981438,981428,981418,981418,981418,172126684,37,1,57172478,0.030000,0.029922,1.032000,0.546000,0.000000,0.086000,0.008000,0.348000,0.044000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,5,26722594,5354170,1059328,1057248,1057146,1057146,1057146,1057146,1057146,1057146,169479300,64,1,61159473,0.030000,0.029785,0.870000,0.485000,0.000000,0.089000,0.005000,0.244000,0.047000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,99740762,42864028,17365532,7128730,2889058,1527494,1278096,1210202,1210202,1210202,308232716,7,1,49506578,0.030000,0.029987,1.353000,0.816000,0.000000,0.036000,0.011000,0.448000,0.042000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,100236018,44473900,18384718,7649008,3225538,1933390,1640632,1564648,1564648,1564648,313336666,8,1,46990747,0.030000,0.029999,1.362000,0.843000,0.000000,0.051000,0.011000,0.420000,0.037000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,7,26720362,18198484,12035678,8256070,6565220,6197912,6120080,6120080,6120080,6120080,218322620,16,2,55833435,0.030000,0.029968,1.566000,1.015000,0.001000,0.222000,0.008000,0.279000,0.041000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,9,87013616,31977430,11835950,4442684,1660464,552178,286572,229086,220728,220728,272447522,3,2,34952503,0.030000,0.029983,1.273000,0.906000,0.000000,0.013000,0.010000,0.302000,0.042000,32,0,0
